bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
1,8900000,89 Lac,448 sqft,Gurukrupa Group,Kandivali West is available at the price of ₹89 Lac,,ready to move,Mahavir Nagar Metro Station|5 minutes,Nidhi Nursing Home,Raghuleela Mall,Mumbai
1,12000000,1.20 Cr,Goregaon West,Goregaon Electrical Industries LLP,,420.0,Dec '26,Lower Malad Metro Station|5 minutes,Suvidha Hospital & Polyclinic,Vijay Sales,Mumbai
3,27000000,2.70 Cr,Upper Govind Nagar,Atul Projects,Upper Govind Nagar,847.0,ready to move,,,,Mumbai
2,15500000,1.55 Cr,Kandarpada,Pastonji Group of Companies,,,Jul '26,Kandarpada Metro Station,Snehanjay Multi Speciality Hospital,Thakur Mall Kandivali,Mumbai
3,38000000,3.80 Cr,Kandivali East,Lodha Developers Limited,,1121.0,ready to move,Poisar Metro Station|5 minutes,City Multispeciality Hospital,Thakur Mall Kandivali East,Mumbai
1,7300000,73 Lac,Mira Road,PNK Group,,322.0,ready to move,Mira Road Railway Station,Bhakti Vedant Hospital,Sahakari Bhandar,Mumbai
2,12000000,1.20 Cr,Vikhroli East,GS Group,,650.0,ready to move,Kannamwar Nagar No.2 Bus Stop,Adi Arogyam Suman Ramesh Tulsiani Hospital,,Mumbai
2,14000000,1.40 Cr,total 644 sqft,Neelyog Builders Pvt. Ltd.,Ghatkopar West is available at the price of ₹1,,ready to move,Ghatkopar Metro Station|5 minutes,Dr Praful Lokhande?s Shantiniketan Hospital,INOX- R City,Mumbai
4,55000000,5.50 Cr,Tarun Bharat Society,Dipti Spaces,Dipti Aryavarta,1400.0,ready to move,,,,Mumbai
2,13350000,1.33 Cr,Amar Nagar,Siddhi Developers,Amar Nagar is available for purchase at price of ₹1,,ready to move,,Padmashree Endoscopy Center,,Mumbai
1,6000000,60 Lac,Mira Road,DB Realty Pvt. Ltd.,,413.0,ready to move,Mira Road Railway Station,Bharat Ratna Indira Gandhi Hospital,"D Mart, Hatkesh Udhog Nagar",Mumbai
1,3220000,32.2 Lac,Virar West,Shree Shashwat Global City,Shree Shashwat Global City,472.0,ready to move,Bolinj Naka Bus Stop,Sahyadri Multcipility Hospital,Big Bazaar,Mumbai
2,18500000,1.85 Cr,Ghatkopar West,The Wadhwa Group,Ghatkopar West is available for purchase at price of ₹1,,ready to move,Ghatkopar Metro Station|5 minutes,Sapana Health Care Centre,INOX- R City,Mumbai
4,130000000,13 Cr,Powai,L&T Realty,,,ready to move,Kensington Sez-1 Bus Stop,Dr. Babasaheb Ambedkar BMC Hospital,D Mall,Mumbai
2,20000000,2 Cr,Ghatkopar West,Runwal Group,,882.0,ready to move,Ghatkopar Metro Station|5 minutes,Sapana Health Care Centre,INOX- R City,Mumbai
1,2575000,25.8 Lac,Vasai East,Shantee Homes Realty LLP,Sunshine Hills,439.0,ready to move,Vasai Bus Stop,IASIS HOSPITAL,Bhajanlal Dairy Farm,Mumbai
1,3000000,30 Lac,Vasai,Shantee Homes Realty LLP,,,ready to move,,YOGYAM Multi-Speciality Hospital,Bhajanlal Dairy Farm,Mumbai
1,9500000,95 Lac,Borivali East,Morya Infrastructure Pvt. Ltd.,Borivali East is available for purchase at price of ₹95 Lac,446.0,ready to move,Magathane Metro Station,Ashtavinayak Hospital,The Zone Mall,Mumbai
3,19400000,1.94 Cr,Bhandup West,Cooperative Group Housing Society,,922.0,ready to move,Nahur Station (E) Bus Stop,Dr. Meena`s Multispeciality Hospital Bhandup,,Mumbai
4,70000000,7 Cr,Andheri West,Adani Realty,,1584.0,ready to move,"Azad Nagar metro station, Mumbai|5 minutes",Bluebell,Star Quik,Mumbai
3,31500000,3.15 Cr,Goregaon East,Jyoti Builders,,,ready to move,Aarey Metro Station|5 minutes,Hira Surgical,"The Hub Mall,",Mumbai
2,21000000,2.10 Cr,Andheri West,RNA NG Builders,,576.0,ready to move,"Azad Nagar metro station, Mumbai|5 minutes",Nakshatra Multispeciality Hospital,Navrang Cinema,Mumbai
4,89500000,8.95 Cr,Powai,Lake Homes,Lake Superior which is a 22 years old construction,3377.0,ready to move,Kensington Sez-1 Bus Stop,Dr L H Hiranandani Hospital,DMart,Mumbai
3,42500000,4.25 Cr,Gokuldham,DB Realty Pvt. Ltd.,,1368.0,ready to move,,,,Mumbai
2,26000000,2.60 Cr,Andheri West,DLH Developers,,,ready to move,"Azad Nagar metro station, Mumbai|5 minutes",Belle-Vue Multi-Speciality Hospital,Citi Mall,Mumbai
3,69500000,6.95 Cr,Lower Parel,India Bulls Real Estate Ltd..,,,ready to move,Lower Parel Metro Station|5 minutes,Siddhachal Hospitals,FBB-MUMBAI-PHOENIX MILL-LOWER PAREL,Mumbai
1,11600000,1.16 Cr,436 sqft,Ravi Group,Kandivali West is available at the price of ₹1,,ready to move,Mahavir Nagar Metro Station|5 minutes,Chirag Mehta Hospital,Samruddhi Shopping Centre,Mumbai
1,2700000,27 Lac,Vasai East,Evershine Builders,,302.0,ready to move,Vasai (E) Bus Stop,Platinum Hospital Vasai,Bhajanlal Dairy Farm,Mumbai
